Provinsi,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Aceh,2203717,36176,113547,149723,2353440,93.64,405696,734161,169953,1309810,3663250,64.24
Sumatera Utara,6728431,153847,242180,396027,7124458,94.44,865344,1588765,341097,2795206,9919664,71.82
Sumatera Barat,2410450,49311,92369,141680,2552130,94.45,421945,656756,163567,1242268,3794398,67.26
Riau,2915597,76978,115823,192801,3108398,93.8,430110,1076566,150362,1657038,4765436,65.23
Jambi,1721362,25225,43850,69075,1790437,96.14,202141,527061,95651,824853,2615290,68.46
Sumatera Selatan,3963870,71424,103663,175087,4138957,95.77,497672,1154127,235150,1886949,6025906,68.69
Bengkulu,963463,15352,19709,35061,998524,96.49,139441,239583,47682,426706,1425230,70.06
Lampung,4060377,86096,85593,171689,4232066,95.94,423093,1230800,188730,1842623,6074689,69.67
Kepulauan Bangka Belitung,701366,14649,11903,26552,727918,96.35,81716,226808,37419,345943,1073861,67.79
Kepulauan Riau,901019,38290,30823,69113,970132,92.88,133156,346678,49093,528927,1499059,64.72
DKI Jakarta,4726779,138511,176330,314841,5041620,93.76,696361,1723008,423030,2842399,7884019,63.95
Jawa Barat,20779888,918640,929594,1848234,22628122,91.83,3036782,8985323,1312958,13335063,35963185,62.92
Jawa Tengah,17245548,472352,341995,814347,18059895,95.49,2162301,4918746,1200602,8281649,26341544,68.56
DI Yogyakarta,2118392,43004,30346,73350,2191742,96.65,247191,452310,96087,795588,2987330,73.37
Jawa Timur,20449949,422282,428192,850474,21300423,96.01,2327947,5899262,1176853,9404062,30704485,69.37
Banten,5332496,221613,275119,496732,5829228,91.48,875123,2098139,378244,3351506,9180734,63.49
Bali,2490870,17349,17136,34485,2525355,98.63,255929,423083,84541,763553,3288908,76.78
Nusa Tenggara Barat,2154124,44012,39245,83257,2237381,96.28,234977,742147,179933,1157057,3394438,65.91
Nusa Tenggara Timur,2411533,20238,54510,74748,2486281,96.99,388407,547798,120633,1056838,3543119,70.17
Kalimantan Barat,2346881,48770,55748,104518,2451399,95.74,286333,697165,135885,1119383,3570782,68.65
Kalimantan Tengah,1301002,26006,28391,54397,1355399,95.99,142306,388927,48688,579921,1935320,70.03
Kalimantan Selatan,2021666,48952,46326,95278,2116944,95.5,226018,570694,98741,895453,3012397,70.27
Kalimantan Timur,1618285,55372,58941,114313,1732598,93.4,238947,593523,100841,933311,2665909,64.99
Kalimantan Utara,323400,9168,8629,17797,341197,94.78,45089,98718,18143,161950,503147,67.81
Sulawesi Utara,1095145,28193,52471,80664,1175809,93.14,143337,441804,105105,690246,1866055,63.01
Sulawesi Tengah,1451491,24092,27389,51481,1502972,96.57,195248,401321,62329,658898,2161870,69.52
Sulawesi Selatan,3774924,83858,129247,213105,3988029,94.66,615134,1431526,293890,2340550,6328579,63.02
Sulawesi Tenggara,1207488,20711,20013,40724,1248212,96.74,165099,318807,56757,540663,1788875,69.78
Gorontalo,555533,6982,16365,23347,578880,95.97,69552,182091,29078,280721,859601,67.34
Sulawesi Barat,619395,9732,10495,20227,639622,96.84,86869,176342,31448,294659,934281,68.46
Maluku,700143,8280,46611,54891,755034,92.73,152272,236457,56631,445360,1200394,62.9
Maluku Utara,515615,4841,20990,25831,541446,95.23,87421,166527,34913,288861,830307,65.21
Papua Barat,417544,6909,21177,28086,445630,93.7,77322,116418,17147,210887,656517,67.88
Papua,1777207,10730,48026,58756,1835963,96.8,176043,256249,52607,484899,2320862,79.11
Indonesia,124004950,3257945,3742746,7000691,131005641,94.66,16532322,39647690,7593788,63773800,194779441,67.26
