Provinsi,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Aceh,2361300,42389,116468,158857,2520157,93.7,328898,816171,286142,1431211,3951368,63.78
Sumatera Utara,7035850,222142,253014,475156,7511006,93.67,819733,1982377,556649,3358759,10869765,69.1
Sumatera Barat,2581444,93464,86484,179948,2761392,93.48,385915,723072,207249,1316236,4077628,67.72
Riau,3148947,78151,67518,145669,3294616,95.58,397560,1137529,236982,1772071,5066687,65.03
Jambi,1746840,36856,56898,93754,1840594,94.91,196461,546584,156538,899583,2740177,67.17
Sumatera Selatan,4179708,94150,125049,219199,4398907,95.02,430292,1209609,357799,1997700,6396607,68.77
Bengkulu,1021775,18128,20617,38745,1060520,96.35,116606,281993,61311,459910,1520430,69.75
Lampung,4284320,109028,101604,210632,4494952,95.31,408595,1312873,264769,1986237,6481189,69.35
Kepulauan Bangka Belitung,701441,20329,16847,37176,738617,94.97,71729,266554,44178,382461,1121078,65.88
Kepulauan Riau,1087419,80281,39314,119595,1207014,90.09,149288,336479,75198,560965,1767979,68.27
DKI Jakarta,4737415,206825,233074,439899,5177314,91.5,669558,1838599,580885,3089042,8266356,62.63
Jawa Barat,22313481,1265642,1164505,2430147,24743628,90.18,2756732,8279509,2315101,13351342,38094970,64.95
Jawa Tengah,17835770,731226,396997,1128223,18963993,94.05,1795640,4992955,1501326,8289921,27253914,69.58
DI Yogyakarta,2228523,73823,32609,106432,2334955,95.44,253480,472342,115012,840834,3175789,73.52
Jawa Timur,21037750,673085,608310,1281395,22319145,94.26,2042868,5941321,1582369,9566558,31885703,70
Banten,5698344,245670,316640,562310,6260654,91.02,728891,2054954,769835,3553680,9814334,63.79
Bali,2441854,101448,37221,138669,2580523,94.63,261135,532709,134723,928567,3509090,73.54
Nusa Tenggara Barat,2657395,58603,23892,82495,2739890,96.99,248399,701738,192433,1142570,3882460,70.57
Nusa Tenggara Timur,2808620,41550,68378,109928,2918548,96.23,298015,554162,184852,1037029,3955577,73.78
Kalimantan Barat,2482453,75443,77864,153307,2635760,94.18,270636,731631,212821,1215088,3850848,68.45
Kalimantan Tengah,1346437,24205,39669,63874,1410311,95.47,133811,421351,88406,643568,2053879,68.67
Kalimantan Selatan,2109427,59272,50696,109968,2219395,95.05,215978,634127,135019,985124,3204519,69.26
Kalimantan Timur,1720361,61772,64414,126186,1846547,93.17,228949,609254,134815,973018,2819565,65.49
Kalimantan Utara,338152,7383,8841,16224,354376,95.42,40437,112655,27539,180631,535007,66.24
Sulawesi Utara,1126797,35769,49771,85540,1212337,92.94,138685,450870,148866,738421,1950758,62.15
Sulawesi Tengah,1524730,23587,35784,59371,1584101,96.25,148155,460431,112223,720809,2304910,68.73
Sulawesi Selatan,4160433,109002,143347,252349,4412782,94.28,464500,1537499,402819,2404818,6817600,64.73
Sulawesi Tenggara,1327069,26151,27983,54134,1381203,96.08,150296,377233,61996,589525,1970728,70.09
Gorontalo,579009,9010,8949,17959,596968,96.99,64609,200250,43534,308393,905361,65.94
Sulawesi Barat,686544,10861,11347,22208,708752,96.87,57764,204141,37994,299899,1008651,70.27
Maluku,800755,18764,40825,59589,860344,93.07,100754,245854,101591,448199,1308543,65.75
Maluku Utara,568698,8803,19330,28133,596831,95.29,66609,200241,58755,325605,922436,64.7
Papua Barat,483681,10319,19666,29985,513666,94.16,57470,122208,36907,216585,730251,70.34
Papua,1887781,12037,52959,64996,1952777,96.67,145994,288668,106703,541365,2494142,78.29
Indonesia,131050523,4685168,4416884,9102052,140152575,93.51,14644442,40577943,11333339,66555724,206708299,67.8
