Provinsi,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Aceh,2219698,38459,108163,146622,2366320,93.8,366433,811552,190309,1368294,3734614,63.36
Sumatera Utara,6681224,191274,191164,382438,7063662,94.59,896494,1727347,376381,3000222,10063884,70.19
Sumatera Barat,2460554,60938,77521,138459,2599013,94.67,393053,685347,172403,1250803,3849816,67.51
Riau,2996079,84774,105369,190143,3186222,94.03,433719,1102823,171635,1708177,4894399,65.1
Jambi,1691782,27903,46062,73965,1765747,95.81,230368,568003,107813,906184,2671931,66.09
Sumatera Selatan,3968499,72720,113198,185918,4154417,95.52,513966,1204189,249416,1967571,6121988,67.86
Bengkulu,981095,15444,18995,34439,1015534,96.61,129518,253013,54813,437344,1452878,69.9
Lampung,4077930,97938,73517,171455,4249385,95.97,446459,1275054,179186,1900699,6150084,69.09
Kepulauan Bangka Belitung,715927,13437,13434,26871,742798,96.38,82178,236071,36214,354463,1097261,67.7
Kepulauan Riau,935682,46408,23071,69479,1005161,93.09,144335,359131,43586,547052,1552213,64.76
DKI Jakarta,4836977,185198,135703,320901,5157878,93.78,669463,1768476,362618,2800557,7958435,64.81
Jawa Barat,21902958,976759,924739,1901498,23804456,92.01,2805512,8472764,1501393,12779669,36584125,65.07
Jawa Tengah,17441153,493576,325779,819355,18260508,95.51,1917325,5167824,1266614,8351763,26612271,68.62
DI Yogyakarta,2134750,47371,21799,69170,2203920,96.86,265781,453381,98565,817727,3021647,72.94
Jawa Timur,20655632,422084,421670,843754,21499386,96.08,2238697,5943158,1277604,9459459,30958845,69.45
Banten,5562846,236409,254399,490808,6053654,91.89,801770,2148188,379165,3329123,9382777,64.52
Bali,2428679,17963,19588,37551,2466230,98.48,278854,489201,104482,872537,3338767,73.87
Nusa Tenggara Barat,2387036,55121,29395,84516,2471552,96.58,289990,682301,156589,1128880,3600432,68.65
Nusa Tenggara Timur,2394673,22342,60688,83030,2477703,96.65,427553,563451,148432,1139436,3617139,68.5
Kalimantan Barat,2369015,50214,60058,110272,2479287,95.55,296944,686639,167248,1150831,3630118,68.3
Kalimantan Tengah,1327885,24796,31994,56790,1384675,95.9,163231,391328,48004,602563,1987238,69.68
Kalimantan Selatan,2036736,51209,40521,91730,2128466,95.69,245565,591629,100946,938140,3066606,69.41
Kalimantan Timur,1704808,53096,57478,110574,1815382,93.91,245422,577722,93817,916961,2732343,66.44
Kalimantan Utara,333777,6609,8771,15380,349157,95.6,46829,110610,20227,177666,526823,66.28
Sulawesi Utara,1131521,30894,44591,75485,1207006,93.75,152296,432982,97601,682879,1889885,63.87
Sulawesi Tengah,1439759,22619,24183,46802,1486561,96.85,181615,442792,88350,712757,2199318,67.59
Sulawesi Selatan,3830096,85282,115022,200304,4030400,95.03,558339,1506948,311598,2376885,6407285,62.9
Sulawesi Tenggara,1217983,21008,24284,45292,1263275,96.41,158091,351655,55863,565609,1828884,69.07
Gorontalo,562087,9537,14272,23809,585896,95.94,73481,184652,32706,290839,876735,66.83
Sulawesi Barat,641613,11895,9159,21054,662667,96.82,71383,189554,33043,293980,956647,69.27
Maluku,715811,14089,40486,54575,770386,92.92,143821,241116,66678,451615,1222001,63.04
Maluku Utara,522423,6691,20612,27303,549726,95.03,85300,181640,35737,302677,852403,64.49
Papua Barat,433401,8721,20125,28846,462247,93.76,71341,120382,23128,214851,677098,68.27
Papua,1775030,10301,56872,67173,1842203,96.35,188438,293959,70287,552684,2394887,76.92
Indonesia,126515119,3513079,3532682,7045761,133560880,94.72,16013564,40214882,8122451,64350897,197911777,67.49
