Provinsi,Pencari Kerja Terdaftar - Laki-Laki,Pencari Kerja Terdaftar - Perempuan,Pencari Kerja Terdaftar - Jumlah,Lowongan Kerja Terdaftar - Laki-Laki,Lowongan Kerja Terdaftar - Perempuan,Lowongan Kerja Terdaftar - Jumlah,Penempatan/Pemenuhan Tenaga Kerja - Laki-Laki,Penempatan/Pemenuhan Tenaga Kerja - Perempuan,Penempatan/Pemenuhan Tenaga Kerja - Jumlah
Aceh,855,480,1335,36,36,72,36,27,63
Sumatera Utara,2324,3644,5968,399,858,1257,42,158,200
Sumatera Barat,4522,6753,11275,1375,1262,2637,1375,1262,2637
Riau,1879,1740,3619,725,335,1060,94,80,174
Jambi,1865,1458,3323,743,567,1310,743,567,1310
Sumatera Selatan,1587,1601,3188,1416,2124,3540,399,727,1126
Bengkulu,569,580,1149,147,158,305,147,158,305
Lampung,1578,1525,3103,251,292,543,304,238,542
Kepulauan Bangka Belitung,492,553,1045,166,117,283,36,7,43
Kepulauan Riau,11234,10083,21317,7365,8053,15418,6390,6258,12648
DKI Jakarta,7674,6281,13955,5082,2910,7992,2729,2427,5156
Jawa Barat,22350,23688,46038,2344,4248,6592,69,133,202
Jawa Tengah,58945,68479,127424,31858,55571,87429,20321,32428,52749
DI Yogyakarta,2943,3089,6032,7819,8545,16364,1757,2094,3851
Jawa Timur,8238,8742,16980,9304,10834,20138,4995,6265,11260
Banten,4400,3897,8297,768,961,1729,819,811,1630
Bali,2644,2089,4733,815,685,1500,1314,1096,2410
Nusa Tenggara Barat,4439,990,5429,88,144,232,6,100,6
Nusa Tenggara Timur,632,687,1319,378,463,841,293,378,671
Kalimantan Barat,2417,1684,4101,117,61,178,1315,530,1845
Kalimantan Tengah,2382,1650,4032,414,305,719,288,176,464
Kalimantan Selatan,5408,3783,9191,821,89,910,100,5,5
Kalimantan Timur,15460,5654,21114,3230,1746,4976,3341,598,3939
Kalimantan Utara,204,163,367,143,72,215,71,63,134
Sulawesi Utara,339,273,612,127,181,308,117,101,218
Sulawesi Tengah,886,403,1289,285,357,642,117,105,222
Sulawesi Selatan,4762,3161,7923,263,197,460,713,629,1342
Sulawesi Tenggara,931,427,1358,994,338,1332,622,70,692
Gorontalo,368,354,722,141,134,275,103,100,203
Sulawesi Barat,337,272,609,180,108,288,115,101,216
Maluku,552,761,1313,32,44,76,32,44,76
Maluku Utara,709,618,1327,302,372,674,218,188,406
Papua Barat,2481,1588,4069,150,93,243,143,84,227
Papua,764,734,1498,221,212,433,148,142,290
Indonesia,177170,167884,345054,78499,102472,180971,49312,58150,107262
