Provinsi,Pencari Kerja Terdaftar - Laki-Laki,Pencari Kerja Terdaftar - Perempuan,Pencari Kerja Terdaftar - Jumlah,Lowongan Kerja Terdaftar - Laki-Laki,Lowongan Kerja Terdaftar - Perempuan,Lowongan Kerja Terdaftar - Jumlah,Penempatan/Pemenuhan Tenaga Kerja - Laki-Laki,Penempatan/Pemenuhan Tenaga Kerja - Perempuan,Penempatan/Pemenuhan Tenaga Kerja - Jumlah
Aceh,771,1002,1773,153,260,413,418,801,1219
Sumatera Utara,5585,7721,13306,2154,2051,4205,708,1443,2151
Sumatera Barat,4551,5828,10379,1583,2822,4405,1583,2822,4405
Riau,3963,2607,6570,538,474,1012,538,474,1012
Jambi,4079,3102,7181,1567,1070,2637,1567,1070,2637
Sumatera Selatan,2729,2778,5507,77,355,432,77,412,489
Bengkulu,956,770,1726,10,5,5,129,171,300
Lampung,4789,4011,8800,19,9,28,13,7,20
Kepulauan Bangka Belitung,213,186,399,1,5,1,50,50,50
Kepulauan Riau,3453,3874,7327,2177,2421,4598,1706,1774,3480
DKI Jakarta,5251,4401,9652,5839,4590,10429,4852,3631,8483
Jawa Barat,51321,53368,104689,1795,4266,6061,1338,1572,2910
Jawa Tengah,84834,105580,190414,77415,93890,171305,22009,43705,65714
DI Yogyakarta,3600,4399,7999,5837,8086,13923,1551,2260,3811
Jawa Timur,3739,5306,9045,3696,6595,10291,1201,2597,3798
Banten,23839,21284,45123,9732,7671,17403,6780,6431,13211
Bali,2122,2111,4233,1365,1261,2626,807,960,1767
Nusa Tenggara Barat,2616,1813,4429,212,224,436,74,272,346
Nusa Tenggara Timur,607,913,1520,4,8,12,1,1,2
Kalimantan Barat,1427,963,2390,197,145,342,338,194,532
Kalimantan Tengah,4956,2526,7482,756,579,1335,426,355,781
Kalimantan Selatan,5806,3978,9784,2654,2269,4923,332,201,533
Kalimantan Timur,12434,4851,17285,3277,1400,4677,3546,951,4497
Kalimantan Utara,540,442,982,2000,1500,4000,500,300,500
Sulawesi Utara,52,35,87,1500,200,2000,1500,200,2000
Sulawesi Tengah,1743,510,2253,2095,399,2494,2095,399,2494
Sulawesi Selatan,3606,3633,7239,51,82,133,93,185,278
Sulawesi Tenggara,2069,916,2985,830,533,1363,696,583,1279
Gorontalo,578,545,1123,6,14,20,13,21,34
Sulawesi Barat,317,192,509,10,3,10,1,20,21
Maluku,958,1189,2147,15,4,19,126,142,268
Maluku Utara,1106,486,1592,26,19,45,14,7,21
Papua Barat,136,179,315,1,1,2,1,,1
Papua,335,335,670,7,7,7,3,3,3
Indonesia,245081,251834,496915,124079,141498,265577,53033,73461,126494
